East_m,North_m,Species,DBH_cm
48.75,48.37,SF,10.3
321.07,172.8,SF,42.6
24.57,118.59,SF,15.3
61.14,103.99,SF,15.2
245.89,108.43,SF,29.3
62.48,113.3,WH,29.1
242.89,113.56,SF,10.2
165.44,106.04,WH,65.7
245.72,128.32,SF,51.7
112.37,61.07,DF,90.9
247.52,96.61,WH,13.8
289.31,101.13,SF,16.5
78.81,104.16,WH,51.9
323.64,220.49,DF,112.8
272.87,181.33,SF,17.9
69.9,148.3,SF,13.2
223.33,130.22,WH,13.5
252.72,211.77,WH,27.1
330.96,213.38,DF,62.5
187.89,128.82,WH,22
73.1,84.4,SF,19.1
252.55,89.81,SF,14.1
189.4,132.86,SF,66.6
31.02,99.69,WH,10.6
60.41,53.6,SF,15.4
319.64,229.48,DF,109.3
44.54,79.79,DF,66.2
332.06,215.88,WH,19.1
94.04,70.46,SF,14
353.54,136.34,DF,95.8
90.9,139.04,SF,11.3
18.3,134.01,DF,26.2
76.23,127.33,SF,30.5
282.13,120.14,SF,23.3
172.36,95.1,SF,12
161.09,102.52,DF,82.4
201.15,110.49,WH,28
35.74,106.96,SF,10.2
227.82,112.65,SF,12.8
220.19,195.24,WH,11
135.22,133.55,SF,24.7
257.41,172.91,WH,87.1
283.89,174.77,WH,14
43.21,139.64,SF,13.8
69.44,132.65,SF,13.6
190.87,99.43,WH,30.5
324.21,136.24,WH,67
101.62,136.56,SF,11.8
197.71,158.7,SF,24
102.02,87.06,DF,119.2
102.24,134.53,SF,20.4
112.44,133.73,SF,15.2
162.51,181.89,WH,18
111.11,60.7,SF,19.5
73.3,41.88,SF,20.1
126.95,141.1,WH,11.5
180,174.18,SF,15.9
81.53,147.38,SF,24.2
183.72,153.15,DF,89
258.64,206.54,WH,81.8
89.91,98.81,SF,19.7
247.91,190.1,WH,64.8
128.18,146.7,DF,115.4
134.81,146.78,SF,19.3
291.07,142.31,WH,31.4
88.78,62.22,WH,48.6
104.84,146.53,SF,10.7
247.98,118.21,WH,10.4
226.39,83.19,WH,20.2
119.71,111.8,SF,13.5
131.97,156.12,SF,14.7
152.18,128.06,SF,47.9
351.14,126.59,DF,129.6
137.9,145.85,SF,10
107.81,160.87,SF,33.5
94.61,72.77,WH,26
131.57,110.44,SF,30.9
316.81,195.57,WH,27.5
248.78,130.82,SF,13.9
74.95,82.89,SF,22.3
192.9,178.33,SF,15.9
148.5,179.64,SF,26.3
311.81,225.06,DF,79
156.7,159.24,WH,10.1
223.05,165.53,WH,26.5
272.69,101.37,SF,11.5
91.09,95.49,DF,112.2
42.01,90.85,SF,42.9
124.86,72.78,SF,14.1
30.14,93.88,SF,10.5
144.92,62.11,SF,15
133.8,57.41,WH,41.4
199.74,140.91,SF,51.1
128.48,104.55,SF,8.7
243.54,121.21,SF,18.3
263.08,150.58,SF,47
154.9,167.82,SF,35.3
278.13,215.05,WH,27.2
209.18,105.57,SF,16.1
20.66,120.16,DF,15
236.69,147.66,WH,54.2
201.95,197.26,WH,88.1
72.69,45.27,SF,19.1
299.04,131.57,WH,44.2
29.81,132.56,DF,18.1
249.89,106.98,SF,25
31.28,101,SF,21
112.94,163.01,WH,22.5
107.51,103.44,SF,13.5
28.58,118.46,DF,22.3
83.62,85.28,SF,20.1
86.83,72.5,SF,54.4
350.61,136.2,SF,12.6
213.95,191.55,WH,19.5
23.65,91.18,SF,12.2
47.06,80.94,WH,58.1
94.61,90.59,DF,112
73.72,122.72,SF,36.2
183.18,185.61,SF,15.8
210.93,106.85,WH,72.4
65.25,62.36,SF,33.5
107.8,140.06,SF,20.7
113.74,145.53,DF,104
315.99,121.03,WH,49.3
302.71,172.79,WH,62.9
177.5,182.98,SF,22
89.6,141.98,SF,11.5
292.19,182.96,SF,14.6
208.67,95.42,SF,13.2
31.29,124.44,SF,11.5
52.83,131.42,SF,13.5
61.16,42.74,SF,59.3
280.43,101.49,WH,72.9
36.77,129.82,DF,11.8
108.24,85.17,SF,12.3
30.99,125.49,DF,27.1
59.31,125.81,WH,28.5
72.05,131.84,SF,13.2
88.58,75.6,SF,11.9
99.48,137.01,SF,17.5
357.13,138.69,SF,13.4
34.23,119.13,DF,29.2
178.47,83.26,WH,21.4
103.68,55.37,SF,20.4
96.46,86.5,WH,74.8
295.28,143.05,WH,18.7
318.19,115.14,SF,14.9
85.15,69.27,WH,58.5
300.77,161.54,SF,12.6
162.17,133.37,SF,20.1
27.38,110.67,SF,10
79.41,149.48,SF,18.8
187.05,167.03,SF,11.7
189.81,179.4,SF,12.9
104.93,151.63,WH,41
313.57,105.21,WH,48.5
80.51,127.13,SF,23.4
76.04,41.45,DF,71.5
73.96,35.12,SF,33.6
274.12,97.6,SF,12.6
60.56,49.94,SF,13.4
170.07,103.62,SF,9.6
205.24,182.15,DF,146.5
199.38,158.45,WH,27.5
154.29,133.25,SF,25.5
328.46,225.8,SF,12
122.32,49.52,WH,76.3
34.54,62.38,SF,27.4
136.33,113.69,DF,118.8
167.36,167.57,SF,35.8
15.39,119.51,SF,11
277.74,173.21,WH,57.3
195.57,106.12,WH,33
349.93,152.32,WH,35.4
324.99,164.95,SF,38.2
146.89,104.62,SF,16.1
23.12,123.85,DF,28.5
107.59,101.85,SF,50.3
65.92,137.13,SF,38.2
166.5,99.32,SF,11.5
62.86,27.16,SF,13.8
293.08,101.92,SF,20.9
136.26,133.55,SF,16.8
110.16,144.49,SF,10.4
149.75,143.15,SF,29.2
300.47,102.72,SF,11.2
51.19,104.82,DF,98
148.32,96.32,SF,25
109.29,74.58,GF,48.9
70.6,150.67,SF,13.9
34.19,58.42,SF,46.7
344.36,170.07,SF,28
186.51,161.31,SF,12
135.89,94.63,SF,17.6
74.82,66.33,SF,33.9
43.12,124.34,SF,13.4
49.37,88.83,SF,15.6
267.36,137.09,SF,40.8
240.74,186.28,WH,73.5
190.61,97.11,WH,64.2
105.79,51.61,SF,35.3
267.07,91.97,SF,20.8
103.71,144.42,WH,35.4
112.11,54.9,SF,36.3
174.76,186.42,SF,10.2
105.19,138.83,SF,38.1
32.04,58.55,SF,23.5
42.2,82.08,SF,37.8
146.79,61.8,SF,40.3
187.81,108.8,WH,55.1
246.46,128.79,SF,13.5
167.92,153.92,SF,16.2
95.05,96.32,DF,112.1
84.17,9.24,WH,21.4
249.59,160.26,WH,49.7
309.2,214.17,WH,12.5
6.78,127.46,DF,32.3
123.19,129.99,SF,23.7
120.41,131.47,SF,23.5
194.31,165.77,SF,50.5
131.53,75.44,SF,14
55.07,64.18,SF,12.7
241.47,191.44,DF,103.9
312.85,175.19,SF,34.5
148.99,106.04,SF,36.9
87.18,94.67,SF,13.5
139.45,73.64,SF,19.8
198,92.64,WH,62.9
329.75,179.04,SF,12.9
283.96,138.96,WH,30.5
181.07,174.69,SF,20.3
43.16,86.3,DF,27
344.04,139.03,SF,12.7
319.27,143.77,WH,11.5
333.91,160.81,SF,14.3
221.8,116.37,WH,64.8
220.43,118.64,DF,86.7
83.77,129.78,SF,25.8
184.53,195.45,SF,20.4
249.47,202.83,WH,26.2
43.48,51.77,SF,16.8
89.84,152.68,DF,95.1
158.58,136.7,SF,10.5
29.45,98.53,SF,11.7
336.98,196.84,DF,124
274.74,121.35,SF,19.7
262.87,166.71,SF,11.3
86.87,108.99,SF,22.7
226.58,194.34,WH,65.3
114.58,106.21,SF,10.2
111.02,118.07,DF,132.1
261.21,214.57,SF,40.2
200.54,180.45,WH,93.2
52.09,125.16,SF,11.8
175.03,175.51,SF,39.4
117.93,136.86,SF,29.6
196.71,93.2,WH,25.3
301.35,182.22,WH,12.1
134.09,150.43,DF,104.9
158.24,115.31,SF,14.4
112.78,142.29,WH,37.5
310.55,214.75,WH,70
62.43,116.93,SF,16.4
78.37,93.5,DF,95.8
227.01,119.49,WH,65.4
27.04,85.75,SF,18.3
139.83,57.15,DF,104
159.5,119.92,DF,118
50.94,130.88,SF,19.9
57.71,68.49,SF,38.6
142.17,74.23,DF,131.4
109.7,135.71,SF,15
63.63,43.28,SF,13
46.67,78.92,SF,16.8
74.73,49.96,SF,14.9
308.83,121.41,WH,25.9
181.44,83.18,WH,25.4
37.12,73.39,SF,15.3
91.24,69.91,SF,17.2
140.39,107.3,GF,51.1
319.81,127.23,WH,85.3
113.84,164.68,DF,88.3
290.4,144.52,WH,27.8
136.22,154.98,SF,13.5
92.76,102.14,SF,26.5
37.1,95.33,SF,26.4
84.79,96.89,SF,23.7
25.1,96.39,SF,18.3
39.31,103.49,SF,12.8
281.85,103.65,SF,10.4
271.11,104.59,SF,11.4
36.76,103.77,SF,10.1
129.48,104.67,SF,21.5
320.77,211.36,WH,18.3
157.79,177.95,SF,19
6.2,130.89,DF,29.7
231.23,108.93,WH,30
47.61,95.9,SF,31.4
200.36,77.81,DF,140.2
189.5,134.18,WH,15.9
15.47,109.88,SF,10.7
223.4,84.67,SF,21.2
194.72,179.2,SF,11.7
295.08,184.45,WH,23.9
149.11,149.67,SF,32
135.5,89.53,SF,21.9
52.25,55.07,SF,11.1
54.78,110.24,WH,61.2
135.32,65.21,DF,60.2
351.43,139.79,WH,12.5
102.04,74.9,SF,10.6
303.19,159.7,WH,10.3
313.45,158.11,SF,13.8
210.87,131.53,WH,50.2
165.05,82.08,SF,15.3
189.85,186.09,SF,18.2
74.29,48.38,SF,25.7
199.17,176.95,SF,11.2
163.94,121.54,GF,21
58.4,127.07,SF,42
32.88,125.65,DF,43.1
64.25,40.44,SF,16
350.93,145.41,SF,10.5
125.77,105.82,SF,11.2
236.71,115.1,SF,15.7
150.6,143.36,SF,11.5
92.22,124.82,WH,74.7
146.83,116.61,WH,75.5
161.61,81.42,WH,19.6
66.05,78.72,SF,20.5
157.43,99.43,SF,14.3
89.94,42.48,WH,18.4
333.33,132.19,DF,139.8
102.69,100.01,WH,23.5
112.33,46.01,DF,95.2
188.77,172.17,SF,17.1
326.31,198.83,DF,104.1
18.61,102.83,SF,26.4
80.09,139.76,SF,36.4
141.38,120.25,SF,12.6
149.16,111.14,SF,24.3
99.03,91.22,WH,19
125.16,144.87,SF,11.3
118.95,115.98,SF,20.8
68.49,60.75,SF,27.8
172.54,86.41,SF,31.1
290.08,218.58,WH,43.9
32.97,89.11,SF,18.4
266.08,171.17,SF,11.3
37.41,136.86,SF,15.8
242.71,192.78,WH,63.5
152.37,72.88,WH,63.9
181.92,149.97,DF,113.6
333.88,157.79,SF,10.8
136.36,132.13,SF,11.6
136.56,71.8,SF,10.8
72.26,71.38,SF,52.5
78.84,46.85,DF,85.7
218.95,141.57,SF,23
298.69,220.38,DF,91.7
161.44,151.52,SF,44.8
295.39,204.6,WH,47.3
79.24,105.23,DF,88.2
156.28,78.72,SF,16
90.3,143.37,WH,18.3
73.15,109.56,SF,11.1
130,127.48,SF,13.2
14.65,110.83,WH,26.1
24.8,111.07,SF,11.8
330.85,208.62,WH,13.8
347.99,156.72,DF,137
108.45,144.27,SF,10
283.78,152.41,SF,13.3
274.45,109.9,WH,11.1
289.18,104.69,SF,10.5
332.78,143.47,WH,90.7
45.31,51.05,SF,16.8
300.53,156.1,WH,57.1
30.23,83.19,SF,41.2
244.64,207.7,WH,20.5
323.13,172.76,SF,26.6
105.37,118.58,GF,25
57.92,121.24,SF,12.7
119.53,133.84,WH,27.6
92.25,30.81,SF,21.2
271.16,103.3,SF,11.2
193.36,121.38,WH,77
128.91,133.49,DF,94.4
57.27,101.72,SF,11.4
54.7,23.32,SF,15.5
33.83,92.66,SF,19.4
47.2,89.23,SF,32.1
245.64,119.71,SF,23.3
215.34,184.69,SF,10.5
31.94,97.44,WH,10.5
129.79,122.66,SF,10.6
53.61,125.22,SF,14.4
94.01,60.21,SF,13.9
269.82,201.29,WH,27.6
36.13,92.62,SF,11.5
52.19,127.47,WH,26.8
53.28,61.69,SF,47.2
266.87,147.34,SF,17.3
220.46,139.32,SF,12.8
259.92,160.01,SF,16.9
21.65,121.93,DF,27.7
205.29,172.66,SF,10.6
245.46,175.95,WH,92.2
230.48,174.42,WH,31.6
237.06,135.32,WH,14.9
191.96,150.93,SF,10.7
256.63,193.81,WH,13.3
241.48,209.5,WH,66.8
251.19,136.48,WH,52.6
85.45,110.5,WH,13.8
98.32,105.77,SF,14.9
279.44,211.12,WH,60.9
96.53,65.34,SF,12.2
54.51,138.7,WH,12.9
171.79,128,WH,78.1
339.77,148.85,WH,10.8
222.74,191.44,WH,88.2
60.11,118.24,WH,12.7
37.81,103.51,SF,14.2
316.58,171.41,SF,18.8
143.41,154.32,WH,15.2
93.92,47.32,DF,73
69.97,106.19,SF,10.9
150.89,97.76,DF,103.8
71.75,93.81,SF,51.9
252.97,158.04,SF,35
133.5,59.87,WH,64.1
203.94,180.17,SF,23.2
185.04,181.26,SF,111
214.75,101.42,WH,28.4
261.76,136.56,DF,81
18.14,118.98,DF,48.8
201.27,98.14,WH,42.1
318.08,194.27,WH,23.4
202.42,144.43,WH,26.5
276.89,114.12,DF,154.1
95.91,104.63,SF,23.3
291.47,214.48,WH,68.4
67.21,73.34,SF,17.5
252.87,98.41,SF,30.1
81.28,18.58,WH,43.5
255.35,194.21,WH,104.5
237.74,161.57,SF,27.5
119.75,138.89,SF,11.8
147.82,70.77,WH,53.8
239.36,125.12,SF,29
329.99,147.92,WH,20.4
38.22,56.74,SF,41.1
19.56,99.24,SF,14.8
198.43,87.24,WH,22.1
85.4,150.52,SF,35.2
129.99,165.8,SF,10.7
277.08,139.08,SF,24.6
100.7,148.37,SF,17.8
160.99,63.58,DF,117.5
178.66,193.55,SF,25.2
98.45,108.56,GF,29.8
220.87,97.7,DF,109
352.56,141.84,SF,10
254.75,106.04,WH,23.2
86.4,72.12,WH,15.8
56.38,134.93,SF,12.1
154.21,181.93,SF,41.8
331.33,195.35,SF,18
50.96,126.59,SF,11.2
346.34,172.82,WH,41.7
227.81,154.23,WH,41
43.32,139.44,SF,14.5
192.48,171.99,SF,41.5
77.71,108.15,SF,20.8
286.83,110.66,SF,11.4
170.36,117.21,WH,58.4
340.79,142.88,WH,29.6
105.26,120.95,SF,13
75.61,62.79,SF,10.1
21.58,118.56,SF,26.3
36.4,91.03,SF,12.6
195.39,125.8,DF,107.3
179.91,138.12,SF,44
127.68,164.38,SF,10.8
326.69,219.88,SF,11.9
112.14,87.17,SF,10.4
259.71,167.55,WH,31.3
93.68,161.48,SF,10.2
79.74,95.65,SF,41
49.66,69.21,DF,106.9
50.84,111.54,SF,46.9
194.63,90.92,WH,32.8
33.18,98.18,WH,20.3
201.4,166.84,WH,16.9
82.55,111.05,SF,15.4
100.89,120.73,SF,14.8
145.69,103.14,SF,32.1
279.85,134.11,SF,53.2
100.72,75.7,GF,40.1
196.82,191.06,SF,30.9
76.23,152.5,WH,14.7
83.94,127.76,SF,10.3
66.4,146.06,SF,11.6
346.68,171.78,DF,150.8
207.61,141.93,SF,10.9
201.82,168.64,SF,20.9
292.02,143.67,WH,69.1
38.36,117.88,DF,36.2
257.23,211.24,WH,22.3
172.89,133.68,WH,68.8
320.85,163.36,SF,23.8
229.31,88.32,WH,90.6
59.84,80.01,SF,15.3
56.26,117.32,SF,10.5
29.22,91.99,SF,18.5
93.58,141.47,DF,103.1
244.69,193.53,WH,75.7
82.19,49.65,SF,16.9
97.06,149.93,SF,11.5
227.43,129.3,DF,115.3
179.84,153,SF,28.1
58.26,109.04,SF,10.3
100.81,90.31,SF,13.1
250.51,187.55,WH,38.4
84.26,117.22,WH,76.1
26.75,128.27,SF,16.9
42.04,117.9,SF,10.8
313.27,140.92,WH,45.7
302.02,184.5,SF,23
130.32,159.19,SF,12
39.51,61.32,DF,106.9
95.07,45.91,SF,43.3
312.32,178.44,SF,14.4
237,88.1,WH,27.3
290.42,110.59,SF,36.4
95.75,111.13,SF,18
93.69,44.9,SF,11.2
26.33,100.93,SF,11.4
123.31,162.69,DF,91.2
229.35,181.48,WH,45.9
88.64,66.09,DF,112.7
99.37,138.38,SF,15.8
103.53,63.66,WH,46.1
31.01,87.4,SF,12.1
227.04,102.11,SF,18.6
206.69,155.96,SF,45.1
298.24,209.35,WH,46
216.08,188.73,DF,123.6
55.69,122.39,SF,45.1
178.71,134.21,SF,23.7
208.54,185.41,SF,23.4
200.6,165.66,DF,115.9
139.05,134.69,WH,91
43.25,117.48,WH,13
299.69,217.2,WH,68.8
145.74,110.51,SF,15.4
260.73,103.79,WH,63.4
24.24,125.57,SF,20
22.69,135.67,DF,11
97.76,148.15,SF,24.4
94.89,122.89,WH,44.9
90.38,40.74,SF,25.1
60.15,119.03,SF,16.9
180.95,129.44,WH,45.4
57.55,93.86,SF,11.2
299.62,101.32,SF,16.8
107.49,150.25,SF,15.8
270.3,163.15,SF,13.2
240.89,147.67,WH,29.3
177.24,153.49,SF,10.8
109.85,128.52,SF,12.2
288.77,106.25,SF,10.9
165.79,150.46,SF,31.9
19.46,129.79,SF,14.4
323.09,179.99,SF,10.8
98.3,136.38,SF,10.3
226.7,187.52,WH,85.4
30.58,135.56,WH,44.4
59.76,130.06,SF,20.2
245.2,176.53,SF,10.3
123.25,135.76,DF,87.1
305.78,152.13,WH,17.2
328.4,116.37,WH,80.5
185.3,179.28,SF,10.2
210.21,182.55,WH,56.6
168.86,188.81,SF,32.6
325.36,176.85,DF,108.5
90.87,79.34,DF,115.7
229.77,117.53,SF,14.4
108.36,107.42,SF,14.8
308.71,102.87,SF,10.5
40.26,140.63,DF,29.7
279.71,125.29,DF,120.3
82.71,98,SF,13.4
122.66,163.12,WH,22
334.77,116.84,SF,15.2
328.49,163.94,SF,12.9
62.51,53.94,SF,10.8
155.38,153.43,SF,13.1
